qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,4,4,3,1,38,1,2,2,40,2012,2,3,1,4,97,4,4,1,1, ,3,1, ,1, , , ,1,1,1,3,0,2
1,1,5,1,4,31,1,2,24,40,2011,1, , , , , , , , , , , , , , , , , , ,1,2, , 
1,2,5,3,4,24,2,2,96,97,2013, ,12,5,6,13,3,3,1,1, ,98,1, ,1, , , ,1,1,1,2,0,1
1,3,5,5,1,998,1,2,96,97,2011,1, , , , , , , , , , , , , , , , , , ,1,999, , 
1,4,5,2,1,998,2,2,96,97,2011,1, , , , , , , , , , , , , , , , , , ,1,999, , 
1,5,5,5,4,30,2,2,24,97,2011,1, , , , , , , , , , , , , , , , , , ,1,2, , 
1,1,3,1,1,29,1,2,96,40,2012, ,12,5,1, ,3,2,1,1, ,1,1, ,1, , , ,1,1,1,2,0,1
1,1,4,1,1,28,1,10,10,1,2014, ,12,5,5,97,3,2,1,1, ,98,1, ,1, , , ,1,1,2,3,0,1
1,2,4,2,1,27,2,10,10,1,2014,2,12,5,6,13,2,2,1,2,2, ,1, ,1, , , ,1,1,2,2,0,3
1,3,4,4,4,4,1,10,10,1,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,1,5,1,1,998,1,16,16,97,2015,2, , , , , , , , , , , , , , , , , , ,3,999, , 
1,2,5,2,1,998,2,16,16,97,2015,2, , , , , , , , , , , , , , , , , , ,3,999, , 
1,3,5,4,1,25,1,16,16,97,2015, ,0,1,97,10,4,3,1,1, ,1,1, ,1, , , ,1,1,3,2,0,1
1,4,5,4,4,18,2,16,16,97,2015,2,4,97,6,13,4,4,1,1, ,96,1, ,2,1, , ,1,1,3,1, ,3
1,5,5,4,4,17,1,16,16,97,2015,2,6,1,6,13,3,2,2,8,1,96,1, ,2,2,8,1,1,1,3,1,999,1
1,1,5,1,1,34,1,2,96,97,2011, ,15,5,4,5,2,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
1,2,5,5,5,58,2,2,96,97,2011,2,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,1,4,0,3
1,3,5,6,1,32,1,2,96,97,2011,2,10,4,97,10,2,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,2
1,4,5,2,1,26,2,2,96,97,2011,2,10,4,8,1,2,2,1,1, ,1,1, ,1, , , ,2,2,1,2,0,3
1,5,5,6,4,28,1,2,96,97,2011,2,5,2,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,1,2,0,3
1,1,1,1,4,32,1,10,10,1,2015, ,9,2,4,6,3,2,1,1, ,98,1, ,1, , , ,2,1,3,3,0,2
1,5,5,4,4,0,2,24,24,1,2015,1, , , , , , , , , , , , , , , , , , ,1,0, , 
1,1,3,1,1,38,1,2,99,97,2014, ,3,2,5,7,4,3,1,1, ,99,2,98,1, , , ,1,1,2,3,0,1
1,2,3,2,1,32,2,2,99,97,2014,2,4,2,5,7,4,3,1,1, ,99,1, ,1, , , ,1,1,2,3,0,1
1,3,3,4,4,7,1,14,99,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,1,4,1,1,44,1,10,10,1,2012, ,16,6,4,97,1,1,2,1, ,1,1, ,2,2,7,1,1,1,1,3,7,1
1,2,4,2,1,36,2,10,10,1,2012,2,16,6,4,97,2,1,2,2,2, ,1, ,1, , , ,1,1,1,3,0,3
1,3,4,4,6,7,1,10,10,1,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,4,1,1,45,1,5,5,97,2014, ,4,4,5,8,4,3,2,1, ,1,1, ,1, , , ,1,1,2,4,0,1
1,2,4,2,1,40,2,5,5,97,2014,2,4,4,2,9,3,3,2,1, ,2,1, ,1, , , ,1,1,2,3,0,1
1,3,4,4,4,14,1,5,5,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,4,4,4,4,7,2,5,5,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,2,3,15,4,53,1,5,5,97,2012, ,12,6,3,97,4,4,1,1, ,1,1, ,1, , , ,2,2,1,4,0,3
1,1,5,1,1,38,1,2,96,38,2011,1, , , , , , , , , , , , , , , , , , ,1,3, , 
1,2,5,2,1,35,2,2,96,38,2011, ,5,2,1, ,4,3,1,1, , ,1, ,1, , , ,1,1,1,3,0,3
